EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,OBJECTID
85903,1670001,REGULAR,ST. BERNARD SOFTBALL CONCESSION,,7500 TANGELO DR,,LOUISVILLE,KY,40228,FOOD SERVICE,2022/05/04 00:00:00,95,A,ST. BERNARD SOFTBALL CONCESSION,,3323
85903,1711258,REGULAR,ST. BERNARD SOFTBALL CONCESSION,,7500 TANGELO DR,,LOUISVILLE,KY,40228,FOOD SERVICE,2022/10/20 00:00:00,98,A,ST. BERNARD SOFTBALL CONCESSION,,3324
85905,1659226,REGULAR,PRP'S ICE CREAM CORNER,,5115 GREENWOOD RD,,LOUISVILLE,KY,40258,FOOD SERVICE,2022/03/17 00:00:00,100,A,PRP'S ICE CREAM CORNER,,3325
85905,1700319,REGULAR,PRP'S ICE CREAM CORNER,,5115 GREENWOOD RD,,LOUISVILLE,KY,40258,FOOD SERVICE,2022/09/08 00:00:00,100,A,PRP'S ICE CREAM CORNER,,3326
85907,1714231,REGULAR,GUESS MICRO MARKET,,10610 FREEPORT DR,,LOUISVILLE,KY,40258,RETAIL WITH LIMITED SERVICE,2022/11/02 00:00:00,100,,GUESS MICRO MARKET,,3327
85948,1691815,REGULAR,GENJI SUSHI,,4944 SHELBYVILLE RD,,LOUISVILLE,KY,40207,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/08/04 00:00:00,100,A,GENJI SUSHI,,3328
85948,1691817,REGULAR,GENJI SUSHI,,4944 SHELBYVILLE RD,,LOUISVILLE,KY,40207,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/08/04 00:00:00,100,,GENJI SUSHI,,3329
85948,1730479,REGULAR,GENJI SUSHI,,4944 SHELBYVILLE RD,,LOUISVILLE,KY,40207,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/01/23 00:00:00,100,A,GENJI SUSHI,,3330
85948,1730480,REGULAR,GENJI SUSHI,,4944 SHELBYVILLE RD,,LOUISVILLE,KY,40207,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/01/23 00:00:00,100,,GENJI SUSHI,,3331
86022,1663914,REGULAR,NORTON CHILDREN'S MEDICAL CENTER,,4910 CHAMBERLAIN LN,,LOUISVILLE,KY,40241,FOOD SERVICE,2022/04/07 00:00:00,100,A,NORTON CHILDREN'S MEDICAL CENTER,,3332
86022,1707391,REGULAR,NORTON CHILDREN'S MEDICAL CENTER,,4910 CHAMBERLAIN LN,,LOUISVILLE,KY,40241,FOOD SERVICE,2022/10/07 00:00:00,100,A,NORTON CHILDREN'S MEDICAL CENTER,,3333
86171,1672316,REGULAR,WEST END TOKEN CLUB,,708 S 16TH ST,,LOUISVILLE,KY,40210,FOOD SERVICE,2022/05/13 00:00:00,95,A,WEST END TOKEN CLUB,,3334
86171,1732010,COMPLAINT,WEST END TOKEN CLUB,,708 S 16TH ST,,LOUISVILLE,KY,40210,FOOD SERVICE,2022/12/02 00:00:00,,,WEST END TOKEN CLUB,,3335
86171,1732011,FOLLOWUP,WEST END TOKEN CLUB,,708 S 16TH ST,,LOUISVILLE,KY,40210,FOOD SERVICE,2022/12/08 00:00:00,,,WEST END TOKEN CLUB,,3336
86171,1732014,FOLLOWUP,WEST END TOKEN CLUB,,708 S 16TH ST,,LOUISVILLE,KY,40210,FOOD SERVICE,2022/12/12 00:00:00,,,WEST END TOKEN CLUB,,3337
86171,1720653,REGULAR,WEST END TOKEN CLUB,,708 S 16TH ST,,LOUISVILLE,KY,40210,FOOD SERVICE,2022/12/02 00:00:00,89,A,WEST END TOKEN CLUB,,3338
86172,1691753,REGULAR,CIRCLE K #4703317,,6325 BARDSTOWN RD,,LOUISVILLE,KY,40291,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/08/04 00:00:00,96,A,CIRCLE K #4703317,,3339
86172,1691754,REGULAR,CIRCLE K #4703317,,6325 BARDSTOWN RD,,LOUISVILLE,KY,40291,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/08/04 00:00:00,98,,CIRCLE K #4703317,,3340
86172,1729081,REGULAR,CIRCLE K #4703317,,6325 BARDSTOWN RD,,LOUISVILLE,KY,40291,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/01/17 00:00:00,96,A,CIRCLE K #4703317,,3341
86172,1729082,REGULAR,CIRCLE K #4703317,,6325 BARDSTOWN RD,,LOUISVILLE,KY,40291,"RETAIL-FOOD  10,000 SQ FT OR LESS",2023/01/17 00:00:00,96,,CIRCLE K #4703317,,3342
86174,1702781,REGULAR,MCALISTER'S DELI #1338,,4677 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2022/09/20 00:00:00,100,A,MCALISTER'S DELI #1338,,3343
86177,1661955,REGULAR,GARDINER POINT RESIDENCE HALL,,4004 GARDINER POINT DR,,LOUISVILLE,KY,40213,FOOD SERVICE,2022/03/30 00:00:00,96,A,GARDINER POINT RESIDENCE HALL,,3344
